"VFID","VF_Name","VFcategory","arm","scenario","cases","n","prevalence","HR","lo","hi","p","HR_perSD","lo_perSD","hi_perSD","ph_term","ph_global","FDR"
"VF0394","Flagella","Motility","abundance","adjusted",43,1699,0.189983669025585,2.17933457592258,1.496647092189,3.17342626635181,4.84269929572784e-05,1.55568170061124,1.25701323565754,1.92531429659188,0.658080749738524,0.589516223383492,0.00159809076759019
"VF0333","T2SS","Effector delivery system","abundance","adjusted",43,1699,0.369080021774633,1.76904208696911,1.29166800667841,2.42284386489972,0.00037798871546958,1.61052907926529,1.23839474829126,2.09448878779407,0.740900325481846,0.567016031314808,0.00623681380524808
"VF0568","AcrAB","Antimicrobial activity/Competitive advantage","abundance","adjusted",43,1699,0.188894937397931,2.17839221967853,1.38787471692612,3.41917941503113,0.000711627143757708,1.49592889610986,1.1847723538318,1.88880442304292,0.733161652697997,0.603691841065206,0.00731571536986032
"VF0227","Chu","Nutritional/Metabolic factor","abundance","adjusted",43,1699,0.272182906913446,1.78151279193601,1.26741691299151,2.50413876862387,0.000886753378164887,1.51445055435383,1.18569670426073,1.93435679912144,0.461156509294576,0.561849593942901,0.00731571536986032
"VF0404","ECP","Adherence","abundance","adjusted",43,1699,0.337506804572673,1.74984021208785,1.24593135464058,2.45755173945595,0.00124266489960281,1.533474381378,1.18295336651304,1.9878583086282,0.925131600460301,0.563432473276903,0.00760857062336664
"VF1138","Curli fibers","Adherence","abundance","adjusted",43,1699,0.323897659227001,1.82212969290871,1.25888776867686,2.63737300527529,0.0014711064624712,1.51762882132864,1.17358657820779,1.96252861279703,0.431283125089225,0.54843751666765,0.00760857062336664
"VF0228","Enterobactin","Nutritional/Metabolic factor","abundance","adjusted",43,1699,0.348938486663038,1.59233327393906,1.19231803311089,2.12655112552313,0.00162317918209213,1.52536238038935,1.17310295291563,1.98339829059692,0.733481262081119,0.581812580423002,0.00760857062336664
"VF0560","Capsule","Immune modulation","abundance","adjusted",43,1699,0.22591181273816,1.87301685449984,1.2618572294027,2.78018150983774,0.001844501969301,1.45940469966012,1.15039585264304,1.8514166862621,0.472438373591125,0.548569591885384,0.00760857062336664
"VF0571","RcsAB","Regulation","abundance","adjusted",43,1699,0.225367446924333,2.16994128216686,1.32161631690761,3.56279285282244,0.00219662178168596,1.46401592650231,1.14706670503962,1.86854227712798,0.757826464660972,0.607601267507862,0.00805427986618186
"VF0112","RpoS","Regulation","abundance","adjusted",43,1699,0.246053347849755,2.0488142683639,1.28672697728735,3.26226152116659,0.00250896403227561,1.46408869120068,1.14338725351787,1.87474164077536,0.976576839028952,0.611029302379887,0.00827958130650951
"VF0565","Aerobactin","Nutritional/Metabolic factor","abundance","adjusted",43,1699,0.0658682634730539,2.37446345921599,1.28864287739924,4.37520496798212,0.00555016918358442,1.29433318886438,1.07859131189934,1.55322816465647,0.151907584143761,0.476937102189774,0.0153298058453021
"VF0239","K1 capsule","Invasion","abundance","adjusted",43,1699,0.255851932498639,1.59877337697495,1.14506152884331,2.23226110260284,0.00586144450202573,1.41037244422821,1.10435679178268,1.80118458657489,0.863688052277431,0.601028191660458,0.0153298058453021
"VF0213","Adhesive fimbriae","Adherence","abundance","adjusted",43,1699,0.0930865541643985,2.04683375886277,1.22602293306333,3.41716971472335,0.00615722241571967,1.35052718301043,1.08924694986383,1.67448132150206,0.39405056866673,0.572533490916451,0.0153298058453021
"VF0111","PhoPQ","Regulation","abundance","adjusted",43,1699,0.193249863908547,2.02337485654746,1.21793090570233,3.36147624708445,0.00650355399497663,1.39713141443038,1.09806759521395,1.77764665645006,0.958320518344285,0.615130127584255,0.0153298058453021
"VF0572","Allantion utilization","Nutritional/Metabolic factor","abundance","adjusted",43,1699,0.142079477408819,1.99252819559826,1.1779457625444,3.3704171588328,0.0101499005926148,1.36381470934551,1.07649478630707,1.72782124454861,0.746574905231381,0.596702310353638,0.0210903977833172
"VF0256","Shu","Nutritional/Metabolic factor","abundance","adjusted",43,1699,0.152966793685357,2.07826571806484,1.18400889845634,3.64793575497171,0.0108215153397048,1.35557341364211,1.07276918689038,1.71293070515933,0.409653954308021,0.576701111498,0.0210903977833172
"VF0221","Type 1 fimbriae","Adherence","abundance","adjusted",43,1699,0.39412084921067,1.53793758847432,1.10429300223276,2.14186997586684,0.010864750373224,1.41979033942352,1.08413550440712,1.85936591849074,0.923082617501451,0.580640692806776,0.0210903977833172
"VF0229","Aerobactin","Nutritional/Metabolic factor","abundance","adjusted",43,1699,0.101252041371802,1.65474889409361,1.07359929880978,2.55048033799915,0.022504990712962,1.26688296427437,1.03391851470108,1.55233939846086,0.13303380511184,0.420974100902494,0.0376053986263392
"VF0220","P fimbriae","Adherence","abundance","adjusted",43,1699,0.224823081110506,1.58005838718351,1.06485638903474,2.3445269546366,0.0230797352386307,1.31563008377507,1.03840075962374,1.66687331581034,0.150103292757527,0.443671531630839,0.0376053986263392
"VF0236","OmpA","Invasion","abundance","adjusted",43,1699,0.201959716929777,1.84842755302721,1.08299116598546,3.15485899248421,0.0243034989697318,1.33411535189318,1.03811930165027,1.71450792729473,0.946576522344213,0.594963916858016,0.0376053986263392
"VF0237","Ibes","Invasion","abundance","adjusted",43,1699,0.26619488296135,1.62509584706972,1.06370608758784,2.48276901202295,0.0247283696687989,1.34600870587732,1.03851689481682,1.74454498077002,0.918506372754064,0.590857443608213,0.0376053986263392
"VF0238","AslA","Invasion","abundance","adjusted",43,1699,0.195427327163854,1.81191551530115,1.07720741610903,3.04773044215353,0.0250702657508928,1.32552674856313,1.03589032612065,1.69614593056032,0.356735958180162,0.533007346874607,0.0376053986263392
"VF0113","Fur","Regulation","abundance","adjusted",43,1699,0.227544910179641,1.79358308798018,1.04101588794311,3.09019327250106,0.0353067406823549,1.32314193695526,1.01945287425406,1.71729819940006,0.825431672777079,0.606910579183419,0.0506574975007701
"VF1110","TTSS secreted effectors","Effector delivery system","abundance","adjusted",43,1699,0.0832879695155144,1.76050686060904,1.02384494020367,3.02720097990125,0.0408340442824296,1.26486851882822,1.00983773064276,1.58430639039835,0.376934443919803,0.547975238604653,0.0561468108883407
